"","Group","site","status","replicate","complexity","depth","x20","x30","x40","x45","x50","x55","x60","x65","x70","x75","x80","x85","x100","x110"
"167","C R S","Strickland East","Out",1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","C R S","Strickland East","Out",2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","C R S","Strickland East","Out",3,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"170","C R S","Strickland East","Out",4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"171","C R S","Strickland East","Out",5,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","C R S","Strickland East","Out",6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","C R S","Strickland East","Out",7,3,2,0,0,0,0,0,3,0,5,0,0,2,0,0,0
"174","C R S","Strickland East","Out",8,3,2,0,0,0,0,0,0,5,0,0,1,0,0,0,0
"175","C R S","Strickland East","Out",9,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"176","C R S","Strickland East","Out",10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Rikki, Elle, Katie","Little Armstrong","In",1,1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Rikki, Elle, Katie","Little Armstrong","In",2,3,3.5,0,0,0,0,0,0,5,0,2,1,1,0,0,0
"179","Rikki, Elle, Katie","Little Armstrong","In",3,3,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","Rikki, Elle, Katie","Little Armstrong","In",4,3,2.5,0,0,0,0,0,0,1,2,1,0,0,0,0,0
"181","Rikki, Elle, Katie","Little Armstrong","In",5,3,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"182","Rikki, Elle, Katie","Little Armstrong","In",6,3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"183","Rikki, Elle, Katie","Little Armstrong","In",7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","Rikki, Elle, Katie","Little Armstrong","In",8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","Rikki, Elle, Katie","Little Armstrong","In",9,2,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Rikki, Elle, Katie","Little Armstrong","In",10,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"187","Rikki, Elle, Katie","Little Armstrong","In",11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","Rikki, Elle, Katie","Little Armstrong","In",12,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Rikki, Elle, Katie","Little Armstrong","In",13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190","Rikki, Elle, Katie","Little Armstrong","In",14,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"191","Rikki, Elle, Katie","Little Armstrong","In",15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"192","Rikki, Elle, Katie","Little Armstrong","In",16,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193","Rikki, Elle, Katie","Little Armstrong","In",17,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"194","Rikki, Elle, Katie","Little Armstrong","In",18,4,2.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"195","Rikki, Elle, Katie","Little Armstrong","In",19,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"196","Sam, Rob, Chris","Little Armstrong","In",1,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"197","Sam, Rob, Chris","Little Armstrong","In",2,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"198","Sam, Rob, Chris","Little Armstrong","In",3,2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"199","Sam, Rob, Chris","Little Armstrong","In",4,3,3,0,0,0,0,0,0,0,1,1,0,1,2,0,0
"200","Sam, Rob, Chris","Little Armstrong","In",5,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"201","Sam, Rob, Chris","Little Armstrong","In",6,4,4.5,0,0,0,0,0,0,3,1,0,1,1,0,0,0
"202","Sam, Rob, Chris","Little Armstrong","In",7,3,3,0,0,1,0,0,0,1,1,0,0,2,0,0,0
"203","Sam, Rob, Chris","Little Armstrong","In",8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"204","Sam, Rob, Chris","Little Armstrong","In",9,4,4,0,0,0,0,0,0,1,3,2,0,0,0,0,0
"205","Sam, Rob, Chris","Little Armstrong","In",10,4,3.5,0,0,2,0,0,0,3,0,0,0,2,3,0,0
"206","Sam, Rob, Chris","Little Armstrong","In",11,2,3.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"207","Sam, Rob, Chris","Little Armstrong","In",12,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"208","Sam, Rob, Chris","Little Armstrong","In",13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"209","Sam, Rob, Chris","Little Armstrong","In",14,3,4,0,0,0,0,0,1,2,0,0,0,0,1,0,0
"210","Sam, Rob, Chris","Little Armstrong","In",15,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"211","Sam, Rob, Chris","Little Armstrong","In",16,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"212","Sam, Rob, Chris","Little Armstrong","In",17,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"213","Sam, Rob, Chris","Little Armstrong","In",18,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"214","Sam, Rob, Chris","Little Armstrong","In",19,2,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"215","Sam, Rob, Chris","Little Armstrong","In",20,2,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"216","Hayley, Jen, Justin","Fairbridge","Out",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"217","Hayley, Jen, Justin","Fairbridge","Out",2,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"218","Hayley, Jen, Justin","Fairbridge","Out",3,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"219","Hayley, Jen, Justin","Fairbridge","Out",4,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"220","Hayley, Jen, Justin","Fairbridge","Out",5,3,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"221","Hayley, Jen, Justin","Fairbridge","Out",6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"222","Hayley, Jen, Justin","Fairbridge","Out",7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"223","Hayley, Jen, Justin","Fairbridge","Out",8,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"224","Hayley, Jen, Justin","Fairbridge","Out",9,3,1,0,0,0,0,0,0,0,0,2,1,2,0,0,0
"225","Hayley, Jen, Justin","Fairbridge","Out",10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"226","Rob, Elle, Max","Fairbridge","Out",1,3,2.5,0,0,0,0,0,0,0,0,1,1,2,0,0,0
"227","Rob, Elle, Max","Fairbridge","Out",2,3,2.5,0,0,0,0,0,0,4,5,0,0,1,0,0,0
"228","Rob, Elle, Max","Fairbridge","Out",3,2,2.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"229","Rob, Elle, Max","Fairbridge","Out",4,4,2,0,0,0,0,0,0,0,0,2,0,6,0,0,0
"230","Rob, Elle, Max","Fairbridge","Out",5,4,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0
"231","Rob, Elle, Max","Fairbridge","Out",6,3,1.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"232","Rob, Elle, Max","Fairbridge","Out",7,4,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0
"233","Rob, Elle, Max","Salmon East","In",1,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234","Rob, Elle, Max","Salmon East","In",2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"235","Rob, Elle, Max","Salmon East","In",3,3,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0
"236","Rob, Elle, Max","Salmon East","In",4,4,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"237","Rob, Elle, Max","Salmon East","In",5,4,3.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0
"238","Rob, Elle, Max","Salmon East","In",6,2,3.5,0,0,0,0,0,0,0,0,3,2,0,0,0,0
"239","Rob, Elle, Max","Salmon East","In",7,4,3.5,0,0,0,0,0,0,0,0,0,1,0,3,0,0
"240","Rob, Elle, Max","Salmon East","In",8,3,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","Rob, Elle, Max","Salmon East","In",9,3,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0
"242","Rob, Elle, Max","Salmon East","In",10,4,3,0,0,0,0,0,0,1,1,3,0,2,0,1,0
"243","Sam, Jess, Marcelle, Chris","Fairbridge","Out",1,3,1.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"244","Sam, Jess, Marcelle, Chris","Fairbridge","Out",2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245","Sam, Jess, Marcelle, Chris","Fairbridge","Out",3,3,1.5,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"246","Sam, Jess, Marcelle, Chris","Fairbridge","Out",4,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247","Sam, Jess, Marcelle, Chris","Fairbridge","Out",5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
